"Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Data Item","Domain","Chemical Name","Chemical Type","Chemical Code","Value","CV (%)"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","PERMETHRIN","109701",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","OXATHIAPIPROLIN","128111",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","CYCLANILIPROLE","26202",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","PERMETHRIN","109701",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","OXATHIAPIPROLIN","128111",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","CYCLANILIPROLE","26202",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","PERMETHRIN","109701",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",NA,NA,2965387000,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",NA,NA,24600000,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","OXATHIAPIPROLIN","128111",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","CYCLANILIPROLE","26202",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","PERMETHRIN","109701",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, OTHER","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",NA,NA,575,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","AZOXYSTROBIN","128810",3300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","BACILLUS SUBTILIS","6479",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","BLAD","30006",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","BORAX DECAHYDRATE","11102",2800,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","BOSCALID","128008",6600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","CAPTAN","81301",603100,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","CYFLUFENAMID","555550",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","CYPRODINIL","288202",30300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","DIFENOCONAZOLE","128847",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","FENHEXAMID","90209",8600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","FLUDIOXONIL","71503",22400,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","FLUOPYRAM","80302",14600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","FLUXAPYROXAD","138009",7100,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","FOSETYL-AL","123301",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","ISOFETAMID","270000",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","MEFENOXAM","113502",7200,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","MONO-POTASSIUM SALT","76416",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","MYCLOBUTANIL","128857",10800,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","PENTHIOPYRAD","90112",4000,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","POLYOXIN D ZINC SALT","230000",3300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","PROPICONAZOLE","122101",2300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","PYDIFLUMETOFEN","90110",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","PYRACLOSTROBIN","99100",10600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","PYRIMETHANIL","288201",8300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","QUINOLINE","55459",3600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","SULFUR","77501",1258100,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","TETRACONAZOLE","120603",1300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","THIOPHANATE-METHYL","102001",10600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","THIRAM","79801",269500,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","TOTAL",NA,2338800,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","TRIFLOXYSTROBIN","129112",14600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","TRIFLUMIZOLE","128879",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","HERBICIDE","CARFENTRAZONE-ETHYL","128712",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","HERBICIDE","FLUMIOXAZIN","129034",3900,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","HERBICIDE","OXYFLUORFEN","111601",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","HERBICIDE","PENDIMETHALIN","108501",71400,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","HERBICIDE","TOTAL",NA,89700,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","ABAMECTIN","122804",300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","ACEQUINOCYL","6329",12800,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","ACETAMIPRID","99050",3300,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","AZADIRACHTIN","121701",2800,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","BEAUVERIA BASSIANA","128924",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","BIFENAZATE","586",28700,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","BIFENTHRIN","128825",4600,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","BT KURSTAK ABTS-1857","6523",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","BT KURSTAKI ABTS-351","6522",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","BT KURSTAKI SA-11","6519",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","CANOLA OIL","11332",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","CHLORANTRANILIPROLE","90100",2000,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","CYANTRANILIPROLE","90098",1700,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","CYFLUMETOFEN","138831",7600,NA
